User Role,originatorName,USER ID/EUI64,DUIS Version,Environment
GT,70-B3-D5-1F-31-AA-02-06_GT_DUIS3.0,70-B3-D5-1F-31-AA-02-06,3.0,SIT-B
RSA,70-B3-D5-1F-31-AA-02-07_RSA_DUIS3.0,70-B3-D5-1F-31-AA-02-07,3.0,SIT-B
OU,70-B3-D5-1F-31-AA-02-08_OU_DUIS3.0,70-B3-D5-1F-31-AA-02-08,3.0,SIT-B
IS1,70-B3-D5-1F-31-AA-02-09_IS1_DUIS3.1,70-B3-D5-1F-31-AA-02-09,3.1,SIT-B
IS2,70-B3-D5-1F-31-AA-02-10_IS2_DUIS3.1,70-B3-D5-1F-31-AA-02-10,3.1,SIT-B
ES,70-B3-D5-1F-31-AA-02-11_ES_DUIS3.1,70-B3-D5-1F-31-AA-02-11,3.1,SIT-B
GS1,70-B3-D5-1F-31-AA-02-12_GS1_DUIS3.1,70-B3-D5-1F-31-AA-02-12,3.1,SIT-B
GS2,70-B3-D5-1F-31-AA-02-13_GS2_DUIS3.1,70-B3-D5-1F-31-AA-02-13,3.1,SIT-B
ED,70-B3-D5-1F-31-AA-02-14_ED_DUIS3.1,70-B3-D5-1F-31-AA-02-14,3.1,SIT-B
GT,70-B3-D5-1F-31-AA-02-15_GT_DUIS3.1,70-B3-D5-1F-31-AA-02-15,3.1,SIT-B
RSA,70-B3-D5-1F-31-AA-02-16_RSA_DUIS3.1,70-B3-D5-1F-31-AA-02-16,3.1,SIT-B
OU,70-B3-D5-1F-31-AA-02-17_OU_DUIS3.1,70-B3-D5-1F-31-AA-02-17,3.1,SIT-B
IS1,70-B3-D5-1F-31-AA-02-18_IS1_DUIS4.0,70-B3-D5-1F-31-AA-02-18,4.0,SIT-B
